Year,Units,Federal state,GeoCode,Value
1991,1.000 EUR,,,30.409
1992,1.000 EUR,,,30.819
1993,1.000 EUR,,,30.351
1994,1.000 EUR,,,31.062
1995,1.000 EUR,,,31.467
1996,1.000 EUR,,,31.732
1997,1.000 EUR,,,32.303
1998,1.000 EUR,,,33.007
1999,1.000 EUR,,,33.719
2000,1.000 EUR,,,34.675
2001,1.000 EUR,,,35.216
2002,1.000 EUR,,,35.11
2003,1.000 EUR,,,34.9369
2004,1.000 EUR,,,35.382
2005,1.000 EUR,,,35.748
2006,1.000 EUR,,,37.201
2007,1.000 EUR,,,38.362
2008,1.000 EUR,,,38.821
2009,1.000 EUR,,,36.796
2010,1.000 EUR,,,38.417
2011,1.000 EUR,,,39.865
2012,1.000 EUR,,,39.979
2013,1.000 EUR,,,40.024
2014,1.000 EUR,,,40.722
2015,1.000 EUR,,,41.039
2016,1.000 EUR,,,41.643
2017,1.000 EUR,,,42.614
2018,1.000 EUR,,,42.961
2019,1.000 EUR,,,43.287
2020,1.000 EUR,,,41.481
2021,1.000 EUR,,,42.985
2022,1.000 EUR,,,43.261
2023,1.000 EUR,,,42.78
1991,1.000 EUR,Baden-Wuerttemberg,code08,33.828
1992,1.000 EUR,Baden-Wuerttemberg,code08,33.554
1993,1.000 EUR,Baden-Wuerttemberg,code08,31.872
1994,1.000 EUR,Baden-Wuerttemberg,code08,32.318
1995,1.000 EUR,Baden-Wuerttemberg,code08,32.757
1996,1.000 EUR,Baden-Wuerttemberg,code08,32.955
1997,1.000 EUR,Baden-Wuerttemberg,code08,33.452
1998,1.000 EUR,Baden-Wuerttemberg,code08,34.207
1999,1.000 EUR,Baden-Wuerttemberg,code08,34.985
2000,1.000 EUR,Baden-Wuerttemberg,code08,36.094
2001,1.000 EUR,Baden-Wuerttemberg,code08,37.097
2002,1.000 EUR,Baden-Wuerttemberg,code08,36.577
2003,1.000 EUR,Baden-Wuerttemberg,code08,36.39
2004,1.000 EUR,Baden-Wuerttemberg,code08,36.447
2005,1.000 EUR,Baden-Wuerttemberg,code08,36.6
2006,1.000 EUR,Baden-Wuerttemberg,code08,38.932
2007,1.000 EUR,Baden-Wuerttemberg,code08,40.377
2008,1.000 EUR,Baden-Wuerttemberg,code08,40.575
2009,1.000 EUR,Baden-Wuerttemberg,code08,36.636
2010,1.000 EUR,Baden-Wuerttemberg,code08,39.525
2011,1.000 EUR,Baden-Wuerttemberg,code08,41.526
2012,1.000 EUR,Baden-Wuerttemberg,code08,41.641
2013,1.000 EUR,Baden-Wuerttemberg,code08,41.71
2014,1.000 EUR,Baden-Wuerttemberg,code08,42.338
2015,1.000 EUR,Baden-Wuerttemberg,code08,42.91
2016,1.000 EUR,Baden-Wuerttemberg,code08,42.896
2017,1.000 EUR,Baden-Wuerttemberg,code08,44.159
2018,1.000 EUR,Baden-Wuerttemberg,code08,44.874
2019,1.000 EUR,Baden-Wuerttemberg,code08,44.542
2020,1.000 EUR,Baden-Wuerttemberg,code08,42.32
2021,1.000 EUR,Baden-Wuerttemberg,code08,43.966
2022,1.000 EUR,Baden-Wuerttemberg,code08,44.566
2023,1.000 EUR,Baden-Wuerttemberg,code08,43.848
1991,1.000 EUR,Bavaria,code09,31.338
1992,1.000 EUR,Bavaria,code09,31.795
1993,1.000 EUR,Bavaria,code09,30.919
1994,1.000 EUR,Bavaria,code09,31.245
1995,1.000 EUR,Bavaria,code09,31.369
1996,1.000 EUR,Bavaria,code09,31.57
1997,1.000 EUR,Bavaria,code09,32.147
1998,1.000 EUR,Bavaria,code09,33.269
1999,1.000 EUR,Bavaria,code09,34.087
2000,1.000 EUR,Bavaria,code09,35.464
2001,1.000 EUR,Bavaria,code09,36.25
2002,1.000 EUR,Bavaria,code09,36.334
2003,1.000 EUR,Bavaria,code09,35.688
2004,1.000 EUR,Bavaria,code09,36.386
2005,1.000 EUR,Bavaria,code09,36.808
2006,1.000 EUR,Bavaria,code09,38.194
2007,1.000 EUR,Bavaria,code09,39.34
2008,1.000 EUR,Bavaria,code09,39.361
2009,1.000 EUR,Bavaria,code09,37.736
2010,1.000 EUR,Bavaria,code09,39.633
2011,1.000 EUR,Bavaria,code09,41.905
2012,1.000 EUR,Bavaria,code09,42.1
2013,1.000 EUR,Bavaria,code09,42.357
2014,1.000 EUR,Bavaria,code09,43.1
2015,1.000 EUR,Bavaria,code09,43.445
2016,1.000 EUR,Bavaria,code09,44.126
2017,1.000 EUR,Bavaria,code09,45.475
2018,1.000 EUR,Bavaria,code09,45.412
2019,1.000 EUR,Bavaria,code09,45.991
2020,1.000 EUR,Bavaria,code09,44.078
2021,1.000 EUR,Bavaria,code09,45.683
2022,1.000 EUR,Bavaria,code09,46.251
2023,1.000 EUR,Bavaria,code09,45.942
1991,1.000 EUR,Berlin,code11,28.004
1992,1.000 EUR,Berlin,code11,28.982
1993,1.000 EUR,Berlin,code11,29.759
1994,1.000 EUR,Berlin,code11,30.274
1995,1.000 EUR,Berlin,code11,30.812
1996,1.000 EUR,Berlin,code11,30.599
1997,1.000 EUR,Berlin,code11,30.3
1998,1.000 EUR,Berlin,code11,30.804
1999,1.000 EUR,Berlin,code11,31.053
2000,1.000 EUR,Berlin,code11,31.686
2001,1.000 EUR,Berlin,code11,31.698
2002,1.000 EUR,Berlin,code11,31.077
2003,1.000 EUR,Berlin,code11,30.414
2004,1.000 EUR,Berlin,code11,30.182
2005,1.000 EUR,Berlin,code11,30.79
2006,1.000 EUR,Berlin,code11,31.83
2007,1.000 EUR,Berlin,code11,32.765
2008,1.000 EUR,Berlin,code11,33.955
2009,1.000 EUR,Berlin,code11,33.534
2010,1.000 EUR,Berlin,code11,34.467
2011,1.000 EUR,Berlin,code11,35.491
2012,1.000 EUR,Berlin,code11,34.914
2013,1.000 EUR,Berlin,code11,34.539
2014,1.000 EUR,Berlin,code11,34.988
2015,1.000 EUR,Berlin,code11,35.741
2016,1.000 EUR,Berlin,code11,37.023
2017,1.000 EUR,Berlin,code11,38.097
2018,1.000 EUR,Berlin,code11,39.053
2019,1.000 EUR,Berlin,code11,39.885
2020,1.000 EUR,Berlin,code11,38.798
2021,1.000 EUR,Berlin,code11,40.032
2022,1.000 EUR,Berlin,code11,41.307
2023,1.000 EUR,Berlin,code11,41.326
1991,1.000 EUR,Brandenburg,code12,12.819
1992,1.000 EUR,Brandenburg,code12,14.076
1993,1.000 EUR,Brandenburg,code12,15.751
1994,1.000 EUR,Brandenburg,code12,17.497
1995,1.000 EUR,Brandenburg,code12,18.886
1996,1.000 EUR,Brandenburg,code12,19.631
1997,1.000 EUR,Brandenburg,code12,19.974
1998,1.000 EUR,Brandenburg,code12,20.105
1999,1.000 EUR,Brandenburg,code12,20.84
2000,1.000 EUR,Brandenburg,code12,21.432
2001,1.000 EUR,Brandenburg,code12,21.538
2002,1.000 EUR,Brandenburg,code12,21.649
2003,1.000 EUR,Brandenburg,code12,21.741
2004,1.000 EUR,Brandenburg,code12,22.175
2005,1.000 EUR,Brandenburg,code12,22.431
2006,1.000 EUR,Brandenburg,code12,23.325
2007,1.000 EUR,Brandenburg,code12,23.799
2008,1.000 EUR,Brandenburg,code12,24.407
2009,1.000 EUR,Brandenburg,code12,23.85
2010,1.000 EUR,Brandenburg,code12,24.659
2011,1.000 EUR,Brandenburg,code12,24.989
2012,1.000 EUR,Brandenburg,code12,25.347
2013,1.000 EUR,Brandenburg,code12,25.485
2014,1.000 EUR,Brandenburg,code12,26.406
2015,1.000 EUR,Brandenburg,code12,26.442
2016,1.000 EUR,Brandenburg,code12,26.793
2017,1.000 EUR,Brandenburg,code12,27.375
2018,1.000 EUR,Brandenburg,code12,27.41
2019,1.000 EUR,Brandenburg,code12,27.783
2020,1.000 EUR,Brandenburg,code12,27.1
2021,1.000 EUR,Brandenburg,code12,27.477
2022,1.000 EUR,Brandenburg,code12,27.957
2023,1.000 EUR,Brandenburg,code12,28.289
1991,1.000 EUR,Bremen,code04,38.67
1992,1.000 EUR,Bremen,code04,38.047
1993,1.000 EUR,Bremen,code04,36.524
1994,1.000 EUR,Bremen,code04,37.235
1995,1.000 EUR,Bremen,code04,37.35
1996,1.000 EUR,Bremen,code04,37.41
1997,1.000 EUR,Bremen,code04,38.586
1998,1.000 EUR,Bremen,code04,39.119
1999,1.000 EUR,Bremen,code04,39.291
2000,1.000 EUR,Bremen,code04,41.345
2001,1.000 EUR,Bremen,code04,42.255
2002,1.000 EUR,Bremen,code04,42.851
2003,1.000 EUR,Bremen,code04,43.167
2004,1.000 EUR,Bremen,code04,43.124
2005,1.000 EUR,Bremen,code04,43.616
2006,1.000 EUR,Bremen,code04,45.582
2007,1.000 EUR,Bremen,code04,46.219
2008,1.000 EUR,Bremen,code04,46.338
2009,1.000 EUR,Bremen,code04,42.022
2010,1.000 EUR,Bremen,code04,44.196
2011,1.000 EUR,Bremen,code04,45.128
2012,1.000 EUR,Bremen,code04,46.384
2013,1.000 EUR,Bremen,code04,45.75
2014,1.000 EUR,Bremen,code04,46.054
2015,1.000 EUR,Bremen,code04,45.739
2016,1.000 EUR,Bremen,code04,46.006
2017,1.000 EUR,Bremen,code04,46.316
2018,1.000 EUR,Bremen,code04,46.061
2019,1.000 EUR,Bremen,code04,45.384
2020,1.000 EUR,Bremen,code04,43.16
2021,1.000 EUR,Bremen,code04,45.331
2022,1.000 EUR,Bremen,code04,46.072
2023,1.000 EUR,Bremen,code04,45.262
1991,1.000 EUR,Hamburg,code02,49.864
1992,1.000 EUR,Hamburg,code02,49.115
1993,1.000 EUR,Hamburg,code02,48.739
1994,1.000 EUR,Hamburg,code02,49.086
1995,1.000 EUR,Hamburg,code02,49.354
1996,1.000 EUR,Hamburg,code02,50.454
1997,1.000 EUR,Hamburg,code02,52.442
1998,1.000 EUR,Hamburg,code02,53.352
1999,1.000 EUR,Hamburg,code02,54.321
2000,1.000 EUR,Hamburg,code02,55.52
2001,1.000 EUR,Hamburg,code02,58.292
2002,1.000 EUR,Hamburg,code02,58.448
2003,1.000 EUR,Hamburg,code02,57.124
2004,1.000 EUR,Hamburg,code02,57.556
2005,1.000 EUR,Hamburg,code02,58.414
2006,1.000 EUR,Hamburg,code02,59.218
2007,1.000 EUR,Hamburg,code02,60.184
2008,1.000 EUR,Hamburg,code02,62.367
2009,1.000 EUR,Hamburg,code02,59.867
2010,1.000 EUR,Hamburg,code02,60.112
2011,1.000 EUR,Hamburg,code02,60.08
2012,1.000 EUR,Hamburg,code02,59.854
2013,1.000 EUR,Hamburg,code02,61.152
2014,1.000 EUR,Hamburg,code02,60.434
2015,1.000 EUR,Hamburg,code02,60.935
2016,1.000 EUR,Hamburg,code02,61.417
2017,1.000 EUR,Hamburg,code02,61.783
2018,1.000 EUR,Hamburg,code02,61.18
2019,1.000 EUR,Hamburg,code02,63.113
2020,1.000 EUR,Hamburg,code02,59.817
2021,1.000 EUR,Hamburg,code02,60.74
2022,1.000 EUR,Hamburg,code02,63.2
2023,1.000 EUR,Hamburg,code02,61.588
1991,1.000 EUR,Hesse,code06,36.137
1992,1.000 EUR,Hesse,code06,36.103
1993,1.000 EUR,Hesse,code06,35.143
1994,1.000 EUR,Hesse,code06,35.31
1995,1.000 EUR,Hesse,code06,35.528
1996,1.000 EUR,Hesse,code06,36.121
1997,1.000 EUR,Hesse,code06,36.685
1998,1.000 EUR,Hesse,code06,37.404
1999,1.000 EUR,Hesse,code06,38.465
2000,1.000 EUR,Hesse,code06,39.73
2001,1.000 EUR,Hesse,code06,40.619
2002,1.000 EUR,Hesse,code06,39.922
2003,1.000 EUR,Hesse,code06,40.092
2004,1.000 EUR,Hesse,code06,40.119
2005,1.000 EUR,Hesse,code06,40.271
2006,1.000 EUR,Hesse,code06,41.661
2007,1.000 EUR,Hesse,code06,42.795
2008,1.000 EUR,Hesse,code06,43.136
2009,1.000 EUR,Hesse,code06,40.089
2010,1.000 EUR,Hesse,code06,41.327
2011,1.000 EUR,Hesse,code06,42.722
2012,1.000 EUR,Hesse,code06,42.19
2013,1.000 EUR,Hesse,code06,42.22
2014,1.000 EUR,Hesse,code06,42.658
2015,1.000 EUR,Hesse,code06,42.422
2016,1.000 EUR,Hesse,code06,43.154
2017,1.000 EUR,Hesse,code06,43.863
2018,1.000 EUR,Hesse,code06,43.907
2019,1.000 EUR,Hesse,code06,44.375
2020,1.000 EUR,Hesse,code06,42.023
2021,1.000 EUR,Hesse,code06,43.659
2022,1.000 EUR,Hesse,code06,43.99
2023,1.000 EUR,Hesse,code06,44.087
1991,1.000 EUR,Mecklenburg Western Pomerania,code13,12.444
1992,1.000 EUR,Mecklenburg Western Pomerania,code13,13.635
1993,1.000 EUR,Mecklenburg Western Pomerania,code13,15.171
1994,1.000 EUR,Mecklenburg Western Pomerania,code13,17.006
1995,1.000 EUR,Mecklenburg Western Pomerania,code13,18.391
1996,1.000 EUR,Mecklenburg Western Pomerania,code13,18.989
1997,1.000 EUR,Mecklenburg Western Pomerania,code13,19.369
1998,1.000 EUR,Mecklenburg Western Pomerania,code13,19.539
1999,1.000 EUR,Mecklenburg Western Pomerania,code13,20.13
2000,1.000 EUR,Mecklenburg Western Pomerania,code13,20.314
2001,1.000 EUR,Mecklenburg Western Pomerania,code13,20.306
2002,1.000 EUR,Mecklenburg Western Pomerania,code13,20.578
2003,1.000 EUR,Mecklenburg Western Pomerania,code13,20.711
2004,1.000 EUR,Mecklenburg Western Pomerania,code13,21.015
2005,1.000 EUR,Mecklenburg Western Pomerania,code13,21.092
2006,1.000 EUR,Mecklenburg Western Pomerania,code13,21.715
2007,1.000 EUR,Mecklenburg Western Pomerania,code13,22.662
2008,1.000 EUR,Mecklenburg Western Pomerania,code13,23.085
2009,1.000 EUR,Mecklenburg Western Pomerania,code13,23.028
2010,1.000 EUR,Mecklenburg Western Pomerania,code13,23.439
2011,1.000 EUR,Mecklenburg Western Pomerania,code13,24.118
2012,1.000 EUR,Mecklenburg Western Pomerania,code13,24.117
2013,1.000 EUR,Mecklenburg Western Pomerania,code13,24.255
2014,1.000 EUR,Mecklenburg Western Pomerania,code13,25.005
2015,1.000 EUR,Mecklenburg Western Pomerania,code13,24.954
2016,1.000 EUR,Mecklenburg Western Pomerania,code13,25.213
2017,1.000 EUR,Mecklenburg Western Pomerania,code13,26.309
2018,1.000 EUR,Mecklenburg Western Pomerania,code13,25.822
2019,1.000 EUR,Mecklenburg Western Pomerania,code13,26.983
2020,1.000 EUR,Mecklenburg Western Pomerania,code13,26.107
2021,1.000 EUR,Mecklenburg Western Pomerania,code13,26.482
